# z  DH  sigDH  DM  sigDM  DV  sigDV
9.131658291457286358e-01 2.560439510276908550e+03 4.524706549466979766e+01 3.151034374470099010e+03 7.196207719940407799e+01 2.852704701724436745e+03 4.657001202857973965e+01
9.250251256281406542e-01 2.542090763975534628e+03 4.563560970439863240e+01 3.181290584136520465e+03 7.213202786259029153e+01 2.876407554570785578e+03 4.676247791321386416e+01
9.368844221105527836e-01 2.523925800827044895e+03 4.600965099120703883e+01 3.211330280349922759e+03 7.230443266303998939e+01 2.899863239509366394e+03 4.695915018673417052e+01
9.487437185929646910e-01 2.505943674530986300e+03 4.636912096411527529e+01 3.241155637037975339e+03 7.247918799986402405e+01 2.923075257688186866e+03 4.715982502203231519e+01
9.606030150753768204e-01 2.488143407681469853e+03 4.671396418518659743e+01 3.270768816721446001e+03 7.265618795315265288e+01 2.946047084003304008e+03 4.736429128937402311e+01
9.724623115577888388e-01 2.470523993499823519e+03 4.704413711788145491e+01 3.300171970155586223e+03 7.283532452961789261e+01 2.968782166579417208e+03 4.757233104899474796e+01
9.843216080402009682e-01 2.453084397513343447e+03 4.735960725665155735e+01 3.329367235991745019e+03 7.301648790144420786e+01 2.991283926289059764e+03 4.778372005489860896e+01
9.961809045226129866e-01 2.435823559183144880e+03 4.766035240479035906e+01 3.358356740458588320e+03 7.319956663875120739e+01 3.013555756309864591e+03 4.799822826762922290e+01
1.008040201005025116e+00 2.418740393480094554e+03 4.794636007135355982e+01 3.387142597062319965e+03 7.338444793594820226e+01 3.035601021717816820e+03 4.821562037343196749e+01
1.019899497487437134e+00 2.401833792412594448e+03 4.821762696536429615e+01 3.415726906305301782e+03 7.357101783216013757e+01 3.057423059116370041e+03 4.843565630767255215e+01
1.031758793969849153e+00 2.385102626502690782e+03 4.847415856676489909e+01 3.444111755422487931e+03 7.375916142582285318e+01 3.079025176298310271e+03 4.865809177994562162e+01
1.043618090452261171e+00 2.368545746215838790e+03 4.871596875860003450e+01 3.472299218135090086e+03 7.394876308347731708e+01 3.100410651940934713e+03 4.888267879866855026e+01
1.055477386934673412e+00 2.352161983342328767e+03 4.894307950796680728e+01 3.500291354420912739e+03 7.413970664274459921e+01 3.121582735332098764e+03 4.910916619309137587e+01
1.067336683417085208e+00 2.335950152332374273e+03 4.915552058405619817e+01 3.528090210300792023e+03 7.433187560942516825e+01 3.142544646126349107e+03 4.933730013049648022e+01
1.079195979899497448e+00 2.319909051585061661e+03 4.935332930522203299e+01 3.555697817640604171e+03 7.452515334863677765e+01 3.163299574129649500e+03 4.956682462678536183e+01
1.091055276381909467e+00 2.304037464694038135e+03 4.953655030845314400e+01 3.583116193968289281e+03 7.471942326989278627e+01 3.183850679112371381e+03 4.979748204879208373e+01
1.102914572864321485e+00 2.288334161647805558e+03 4.970523533491422086e+01 3.610347342305391066e+03 7.491456900601247071e+01 3.204201090648065019e+03 5.002901360658877650e+01
1.114773869346733504e+00 2.272797899988478548e+03 4.985944302766782243e+01 3.637393251012581004e+03 7.511047458575137625e+01 3.224353907978185816e+03 5.026115983448934088e+01
1.126633165829145744e+00 2.257427425928686716e+03 4.999923873822263687e+01 3.664255893648673009e+03 7.530702460004724230e+01 3.244312199901145505e+03 5.049366105954425876e+01
1.138492462311557762e+00 2.242221475426480538e+03 5.012469433897689441e+01 3.690937228842638433e+03 7.550410436178357543e+01 3.264079004684094343e+03 5.072625785641060503e+01
1.150351758793969781e+00 2.227178775222354943e+03 5.023588803985592932e+01 3.717439200178143892e+03 7.570160005898542011e+01 3.283657329997921806e+03 5.095869148778607638e+01
1.162211055276382021e+00 2.212298043835397948e+03 5.033290420784604180e+01 3.743763736090145358e+03 7.589939890137907241e+01 3.303050152872589479e+03 5.119070432972364415e+01
1.174070351758793818e+00 2.197577992523396006e+03 5.041583318837061967e+01 3.769912749773076030e+03 7.609738926026362549e+01 3.322260419673700198e+03 5.142204028127873983e+01
1.185929648241206058e+00 2.183017326204264009e+03 5.048477112760558327e+01 3.795888139100205535e+03 7.629546080166075228e+01 3.341291046097638173e+03 5.165244515801989422e+01
1.197788944723618076e+00 2.168614744343078200e+03 5.053981979640642663e+01 3.821691786553702059e+03 7.649350461273053270e+01 3.360144917185979921e+03 5.188166706941537143e+01
1.209648241206030095e+00 2.154368941802960762e+03 5.058108641460754740e+01 3.847325559165019968e+03 7.669141332146104162e+01 3.378824887357000534e+03 5.210945677970502032e+01
1.221507537688442113e+00 2.140278609662280815e+03 5.060868347676765922e+01 3.872791308465165457e+03 7.688908120965857051e+01 3.397333780454155658e+03 5.233556805252592170e+01
1.233366834170854354e+00 2.126342435998516976e+03 5.062272857934600978e+01 3.898090870444460961e+03 7.708640431928797909e+01 3.415674389810428693e+03 5.255975797937426108e+01
1.245226130653266150e+00 2.112559106640947448e+03 5.062334424928335608e+01 3.923226065521418150e+03 7.728328055222904425e+01 3.433849478328424993e+03 5.278178729204657316e+01
1.257085427135678390e+00 2.098927305889559193e+03 5.061065777534528110e+01 3.948198698520342987e+03 7.747960976353576257e+01 3.451861778573555966e+03 5.300142065964729454e+01
1.268944723618090409e+00 2.085445717206467179e+03 5.058480104201962035e+01 3.973010558657294496e+03 7.767529384830243089e+01 3.469713992882436742e+03 5.321842697041255121e+01
1.280804020100502427e+00 2.072113023875892395e+03 5.054591036689763683e+01 3.997663419534063905e+03 7.787023682225672871e+01 3.487408793483232785e+03 5.343257959895259290e+01
1.292663316582914668e+00 2.058927909635870947e+03 5.049412634193583216e+01 4.022159039139812194e+03 7.806434489621423722e+01 3.504948822628444759e+03 5.364365665943772399e+01
1.304522613065326464e+00 2.045889059282570088e+03 5.042959367971806728e+01 4.046499159860031341e+03 7.825752654454464619e+01 3.522336692739511363e+03 5.385144124551648304e+01
1.316381909547738482e+00 2.032995159246898083e+03 5.035246106467356242e+01 4.070685508492517783e+03 7.844969256781131151e+01 3.539574986561930473e+03 5.405572165745447677e+01
1.328241206030150723e+00 2.020244898146425840e+03 5.026288101034545974e+01 4.094719796270026563e+03 7.864075614975558892e+01 3.556666257331512497e+03 5.425629161736189587e+01
1.340100502512562741e+00 2.007636967309402962e+03 5.016100972339241082e+01 4.118603718889312404e+03 7.883063290880964757e+01 3.573613028948862393e+03 5.445295047329290838e+01
1.351959798994974760e+00 1.995170061277444802e+03 5.004700697464010517e+01 4.142338956546259396e+03 7.901924094432794732e+01 3.590417796164836545e+03 5.464550339292105718e+01
1.363819095477386778e+00 1.982842878282032643e+03 4.992103597815184202e+01 4.165927173976812810e+03 7.920650087773491066e+01 3.607083024773165107e+03 5.483376154771315214e+01
1.375678391959799018e+00 1.970654120698773795e+03 4.978326327856529332e+01 4.189370020503432897e+03 7.939233588879176295e+01 3.623611151811519903e+03 5.501754228832198379e+01
1.387537688442211037e+00 1.958602495480295829e+03 4.963385864781437817e+01 4.212669130086806035e+03 7.957667174719014724e+01 3.640004585770637277e+03 5.519666931221530604e+01
1.399396984924622833e+00 1.946686714566118781e+03 4.947299499140110868e+01 4.235826121382558995e+03 7.975943683968401388e+01 3.656265706809543190e+03 5.537097282425468592e+01
1.411256281407035074e+00 1.934905495273028919e+03 4.930084826505142104e+01 4.258842597802710770e+03 7.994056219297183929e+01 3.672396866978097478e+03 5.554028969116749437e+01
1.423115577889447092e+00 1.923257560664939319e+03 4.911759740226292337e+01 4.281720147581639139e+03 8.011998149254345947e+01 3.688400390445370249e+03 5.570446359074658460e+01
1.434974874371859332e+00 1.911741639902778161e+03 4.892342425336773459e+01 4.304460343846312753e+03 8.029763109770514973e+01 3.704278573733295616e+03 5.586334515665122069e+01
1.446834170854271129e+00 1.900356468577339228e+03 4.871851353708116505e+01 4.327064744690565931e+03 8.047345005299712284e+01 3.720033685956628688e+03 5.601679211980925288e+01
1.458693467336683369e+00 1.889100789021537366e+03 4.850305280442898948e+01 4.349534893253213340e+03 8.064738009621508752e+01 3.735667969066115347e+03 5.616466944701956976e+01
1.470552763819095388e+00 1.877973350608133160e+03 4.827723241621129802e+01 4.371872317799760822e+03 8.081936566324382909e+01 3.751183638097959829e+03 5.630684947779916882e+01
1.482412060301507628e+00 1.866972910027963280e+03 4.804124553485777227e+01 4.394078531807553190e+03 8.098935388991088757e+01 3.766582881425634241e+03 5.644321206040739725e+01
1.494271356783919424e+00 1.856098231554052290e+03 4.779528813071696192e+01 4.416155034054119824e+03 8.115729461106290898e+01 3.781867861016752158e+03 5.657364468765747745e+01
1.506130653266331443e+00 1.845348087288660508e+03 4.753955900389694023e+01 4.438103308708564327e+03 8.132314035706269806e+01 3.797040712692372381e+03 5.669804263350435747e+01
1.517989949748743683e+00 1.834721257396590090e+03 4.727425982254278836e+01 4.459924825425793642e+03 8.148684634790207326e+01 3.812103546390213978e+03 5.681630909130188201e+01
1.529849246231155702e+00 1.824216530322476956e+03 4.699959517767463524e+01 4.481621039443423797e+03 8.164837048511921580e+01 3.827058446429582546e+03 5.692835531429616935e+01
1.541708542713567942e+00 1.813832702995665841e+03 4.671577265640763699e+01 4.503193391681190406e+03 8.180767334170526794e+01 3.841907471779776643e+03 5.703410075956528402e+01
1.553567839195979738e+00 1.803568581020487045e+03 4.642300293328792549e+01 4.524643308842692932e+03 8.196471815017838480e+01 3.856652656329830734e+03 5.713347323576151382e+01
1.565427135678391979e+00 1.793422978854648136e+03 4.612149988162630621e+01 4.545972203519339928e+03 8.211947078899802932e+01 3.871296009160875201e+03 5.722640905583696735e+01
1.577286432160803997e+00 1.783394719974092141e+03 4.581148070517633641e+01 4.567181474296314263e+03 8.227189976748651645e+01 3.885839514819310807e+03 5.731285319528569033e+01
1.589145728643216016e+00 1.773482637026930206e+03 4.549316609152654678e+01 4.588272505860441015e+03 8.242197620941861658e+01 3.900285133592089096e+03 5.739275945681295354e+01
1.601005025125628034e+00 1.763685571975560379e+03 4.516678038824185393e+01 4.609246669109802497e+03 8.256967383543394590e+01 3.914634801782884097e+03 5.746609064216887219e+01
1.612864321608040052e+00 1.754002376227262175e+03 4.483255180276859875e+01 4.630105321264974918e+03 8.271496894442034886e+01 3.928890431988804721e+03 5.753281873182908868e+01
1.624723618090452293e+00 1.744431910755335593e+03 4.449071262771703061e+01 4.650849805981756617e+03 8.285784039401058010e+01 3.943053913378634206e+03 5.759292507341579181e+01
1.636582914572864311e+00 1.734973046208900541e+03 4.414149949256784566e+01 4.671481453465263257e+03 8.299826958032841162e+01 3.957127111970687565e+03 5.764640057946247254e+01
1.648442211055276108e+00 1.725624663014023326e+03 4.378515364331927628e+01 4.692001580585278134e+03 8.313624041711359780e+01 3.971111870911770438e+03 5.769324593527151990e+01
1.660301507537688348e+00 1.716385651464531293e+03 4.342192125178625872e+01 4.712411490992739346e+03 8.327173931434933252e+01 3.985010010755529947e+03 5.773347181764708580e+01
1.672160804020100366e+00 1.707254911804757739e+03 4.305205375585191518e+01 4.732712475237251056e+03 8.340475515650972227e+01 3.998823329741408543e+03 5.776709912504187372e+01
