# z  DH  sigDH  DM  sigDM  DV  sigDV
6.220854271356783816e-01 3.053665182386567267e+03 9.576610696472313577e+01 2.319367285823350358e+03 1.132734840989349294e+02 2.170052128612935121e+03 7.420659389630435498e+01
6.319597989949748973e-01 3.034547166436756015e+03 9.554849858033902876e+01 2.349425922168671605e+03 1.136716146402004171e+02 2.195679526213433746e+03 7.447700955249575827e+01
6.418341708542714130e-01 3.015565861646734902e+03 9.530873479220016975e+01 2.379296455083707315e+03 1.140664642995407121e+02 2.221073460207474454e+03 7.474450290204815417e+01
6.517085427135678177e-01 2.996722051805661977e+03 9.504774077880362881e+01 2.408980238374997953e+03 1.144578934064961686e+02 2.246236348735205866e+03 7.500892212247900659e+01
6.615829145728643335e-01 2.978016458639611301e+03 9.476652252023089318e+01 2.438478633282096325e+03 1.148457731756430036e+02 2.271170618606641710e+03 7.527013430293889940e+01
6.714572864321608492e-01 2.959449743334044797e+03 9.446615401104207876e+01 2.467793007872242470e+03 1.152299861103517173e+02 2.295878704147168719e+03 7.552802572365897049e+01
6.813316582914573649e-01 2.941022508051900786e+03 9.414776585798915676e+01 2.496924736450065211e+03 1.156104262783445478e+02 2.320363046076495266e+03 7.578250200456135133e+01
6.912060301507538806e-01 2.922735297446182358e+03 9.381253511785762100e+01 2.525875198982235361e+03 1.159869994742699504e+02 2.344626090420946639e+03 7.603348813856077015e+01
7.010804020100502854e-01 2.904588600165542630e+03 9.346167624471259217e+01 2.554645780537026894e+03 1.163596232832158819e+02 2.368670287458904568e+03 7.628092842387013661e+01
7.109547738693468011e-01 2.886582850351103843e+03 9.309643302739036130e+01 2.583237870738698348e+03 1.167282270578603800e+02 2.392498090699040858e+03 7.652478630833556394e+01
7.208291457286432058e-01 2.868718429123053738e+03 9.271807141127186469e+01 2.611652863236604389e+03 1.170927518208146552e+02 2.416111955891016805e+03 7.676504415782622459e+01
7.307035175879397215e-01 2.850995666056597202e+03 9.232787310732588537e+01 2.639892155188936613e+03 1.174531501026454521e+02 2.439514340068573802e+03 7.700170295948689159e+01
